danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.789,0.615,11,-5.767,0,0.0368,0.0498,0.0145,0.203,0.521,140.032,audio_features,2F2b8z7H0J6XlikMGMkss0,spotify:track:2F2b8z7H0J6XlikMGMkss0,https://api.spotify.com/v1/tracks/2F2b8z7H0J6XlikMGMkss0,https://api.spotify.com/v1/audio-analysis/2F2b8z7H0J6XlikMGMkss0,203978,4
0.754,0.246,1,-20.268,0,0.0587,0.824,0.183,0.0746,0.515,140.507,audio_features,3S2gLPljxsIzueguYAWHxU,spotify:track:3S2gLPljxsIzueguYAWHxU,https://api.spotify.com/v1/tracks/3S2gLPljxsIzueguYAWHxU,https://api.spotify.com/v1/audio-analysis/3S2gLPljxsIzueguYAWHxU,68664,4
0.778,0.555,1,-6.766,0,0.283,0.275,1.32e-05,0.256,0.527,140.08,audio_features,7LV2t3fLO2k30GShfxIQTD,spotify:track:7LV2t3fLO2k30GShfxIQTD,https://api.spotify.com/v1/tracks/7LV2t3fLO2k30GShfxIQTD,https://api.spotify.com/v1/audio-analysis/7LV2t3fLO2k30GShfxIQTD,216445,4
0.619,0.557,1,-6.01,1,0.126,0.338,8.4e-05,0.11,0.54,149.872,audio_features,6hZa29t1WH9mM2wqyBw2pw,spotify:track:6hZa29t1WH9mM2wqyBw2pw,https://api.spotify.com/v1/tracks/6hZa29t1WH9mM2wqyBw2pw,https://api.spotify.com/v1/audio-analysis/6hZa29t1WH9mM2wqyBw2pw,179200,4
0.585,0.874,3,-6.33,1,0.0596,0.044,0.0253,0.0533,0.357,149.608,audio_features,7oa1uuluE1Wc47xjkSNS99,spotify:track:7oa1uuluE1Wc47xjkSNS99,https://api.spotify.com/v1/tracks/7oa1uuluE1Wc47xjkSNS99,https://api.spotify.com/v1/audio-analysis/7oa1uuluE1Wc47xjkSNS99,104623,4
0.61,0.813,0,-6.02,1,0.336,0.0942,0.0,0.334,0.943,140.868,audio_features,4BOZst1a8mfanfRSfdRzi9,spotify:track:4BOZst1a8mfanfRSfdRzi9,https://api.spotify.com/v1/tracks/4BOZst1a8mfanfRSfdRzi9,https://api.spotify.com/v1/audio-analysis/4BOZst1a8mfanfRSfdRzi9,132766,4
0.8,0.604,2,-10.461,1,0.457,0.27,0.0,0.0724,0.854,139.957,audio_features,4Ait68EQ4BdYBDhwNxUuJJ,spotify:track:4Ait68EQ4BdYBDhwNxUuJJ,https://api.spotify.com/v1/tracks/4Ait68EQ4BdYBDhwNxUuJJ,https://api.spotify.com/v1/audio-analysis/4Ait68EQ4BdYBDhwNxUuJJ,96939,4
0.836,0.793,10,-7.835,1,0.297,0.153,0.0,0.104,0.853,144.917,audio_features,6cV71jleEkoyq5Hlsl9l2a,spotify:track:6cV71jleEkoyq5Hlsl9l2a,https://api.spotify.com/v1/tracks/6cV71jleEkoyq5Hlsl9l2a,https://api.spotify.com/v1/audio-analysis/6cV71jleEkoyq5Hlsl9l2a,142345,4
0.889,0.721,10,-10.09,0,0.476,0.166,0.0,0.312,0.741,146.234,audio_features,7ist6ZFoMj9oQbTO1eYINW,spotify:track:7ist6ZFoMj9oQbTO1eYINW,https://api.spotify.com/v1/tracks/7ist6ZFoMj9oQbTO1eYINW,https://api.spotify.com/v1/audio-analysis/7ist6ZFoMj9oQbTO1eYINW,184110,4
0.764,0.79,10,-8.7,0,0.427,0.312,0.0,0.359,0.909,140.03,audio_features,5092WBFsPhz41OsJJL6HRa,spotify:track:5092WBFsPhz41OsJJL6HRa,https://api.spotify.com/v1/tracks/5092WBFsPhz41OsJJL6HRa,https://api.spotify.com/v1/audio-analysis/5092WBFsPhz41OsJJL6HRa,191228,4
0.806,0.883,2,-5.041,1,0.35,0.231,0.0,0.169,0.701,141.021,audio_features,1QSVrSVmTGrcPaShtkojwd,spotify:track:1QSVrSVmTGrcPaShtkojwd,https://api.spotify.com/v1/tracks/1QSVrSVmTGrcPaShtkojwd,https://api.spotify.com/v1/audio-analysis/1QSVrSVmTGrcPaShtkojwd,206015,4
0.899,0.639,7,-9.071,1,0.465,0.484,0.0,0.0852,0.808,140.107,audio_features,2TobINgZFWFedtjUdH994k,spotify:track:2TobINgZFWFedtjUdH994k,https://api.spotify.com/v1/tracks/2TobINgZFWFedtjUdH994k,https://api.spotify.com/v1/audio-analysis/2TobINgZFWFedtjUdH994k,208051,4
0.867,0.524,6,-10.775,0,0.634,0.304,0.0,0.158,0.867,144.061,audio_features,72etzlZKMbe8EARBRjGTQs,spotify:track:72etzlZKMbe8EARBRjGTQs,https://api.spotify.com/v1/tracks/72etzlZKMbe8EARBRjGTQs,https://api.spotify.com/v1/audio-analysis/72etzlZKMbe8EARBRjGTQs,173333,4
0.702,0.381,9,-16.53,1,0.0506,0.194,0.851,0.113,0.346,140.035,audio_features,70IyUJ6MD2gdKbymubY3eB,spotify:track:70IyUJ6MD2gdKbymubY3eB,https://api.spotify.com/v1/tracks/70IyUJ6MD2gdKbymubY3eB,https://api.spotify.com/v1/audio-analysis/70IyUJ6MD2gdKbymubY3eB,109752,4
0.825,0.475,1,-9.795,1,0.458,0.262,0.0,0.0952,0.529,139.988,audio_features,0CGYQM8oQkHI6wrf1cTIvK,spotify:track:0CGYQM8oQkHI6wrf1cTIvK,https://api.spotify.com/v1/tracks/0CGYQM8oQkHI6wrf1cTIvK,https://api.spotify.com/v1/audio-analysis/0CGYQM8oQkHI6wrf1cTIvK,192052,4
