danceability,energy,loudness,tempo,valence,acousticness,cluster,id
0.908,0.561,-7.683,146.018,0.559,0.00933,2,1BmI4EYdfzbg8DlV6pHYrY
0.621,0.462,-6.268,89.23,0.267,0.472,0,39fKVWP7D9qAmkM8qjRQoC
0.726,0.738,-4.788,121.953,0.896,0.0791,4,4YQImHflXSiIMXntcwPkx8
0.707,0.645,-5.395,150.014,0.524,0.00654,2,4hrd3G5XnJzDC5LZw0Fwgu
0.831,0.439,-7.892,105.104,0.353,0.199,19,3MbOT5mzE94Ne0Hv51akoS
0.691,0.721,-8.854,150.17,0.508,0.00866,2,7BVXZByQjfmtEWt9AhjlwL
0.644,0.811,-4.175,141.989,0.489,0.0731,10,3dw4v5lOsKRqIX3c1bouJW
0.538,0.669,-4.97,141.659,0.0389,0.00437,3,2c7sRekhMGlj7u1WIIzoQu
0.638,0.651,-6.585,157.963,0.114,0.0216,3,7KeM63RotkWiGnHKkboz4t
0.8,0.729,-4.492,154.084,0.526,0.0577,2,1fo2w2ikXyQjnmH1AVVyJ8
0.75,0.733,-3.18,111.018,0.844,0.256,4,3rUGC1vUpkDG9CZFHMur1t
0.943,0.558,-4.911,104.983,0.606,0.0026,19,4xhsWYTOGcal8zt0J161CU
0.739,0.749,-3.318,117.03,0.505,0.12,14,4CljUDO1I5hpKjwSNK6RWY
0.744,0.789,-4.876,116.985,0.866,0.0036,4,4OMJGnvZfDvsePyCwRGO7X
0.75,0.674,-6.128,123.026,0.392,0.228,2,7dJYggqjKo71KI9sLzqCs8
0.628,0.523,-8.307,169.982,0.416,0.701,16,5mjYQaktjmjcMKcUIcqz4s
0.596,0.658,-7.346,100.012,0.176,0.0504,0,1Iq8oo9XkmmvCQiGOfORiz
0.559,0.551,-7.231,143.008,0.392,0.141,3,4iZ4pt7kvcaH6Yo8UoZ4s2
0.711,0.809,-4.389,106.017,0.816,0.0447,4,2KslE17cAJNHTsI2MI0jb2
0.787,0.621,-5.009,139.056,0.13,0.15,3,4MjDJD8cW7iVeWInc2Bdyj
0.504,0.308,-14.958,113.95,0.121,0.868,13,3vkCueOmm7xQDoJ17W1Pm3
0.868,0.538,-8.603,99.968,0.732,0.269,19,2IGMVunIBsBLtEQyoI1Mu7
0.838,0.569,-6.324,136.965,0.551,0.152,2,0HD8mbiPjp3o94X3EaZp0o
